Sentiment,clean_text
positive,happy new month beloved of yahweh mercy is still settling our case thank you mrs seun ogunfile all the way fro t co vx0qq9gf9m
negative,ye kale badbudar hindu ne tumhe 1971 me pel pel ke adha kar diya facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy ab t t co iz12qf5dj5
neutral,sibling khalid ali me ne a c harkaty kbhi nahin ki facewithtearsofjoy
negative,mamata suno mulayam mat bano verna yeh naam kisi party ya sirf hindu ka nahin yeh us t co 6dqimtvkku
negative,chaliye shukr hai is duniya me koi to aisa shaqs hai jo zer zabar pesh ko use karta hai warna sabne urdu t co vnnpl6nvs4
negative,ab agar kisi ki cardiac arrest se death bhi hai jaaye toh yehi bolenge yeh chutiye ki welc t co ia1ur6oujs
negative,ye mariam ka pithu hai or larkian isey apna crush banai baithi hein idiot harami t co etif4msv1t
positive,yasir shami aik mehnati larka hai meri nazar mein ki best video indian fauji wali hai
positive,bahut aacha song hai smilingfacewithhearteyessmilingfacewithhearteyes i loved it
negative,judges or media ka ahtesab kab or kon kare ja kia hamesha politicians hi qurbani ka bakra banen gai
negative,22 crore ma se best 15 gaye hai tum or 1 bhi confidence nam ki cheez nazar nhe ai amir or fakhar ok elawa ksi ma thori si effor
positive,ph watching btsatwembley is making me miss them more sighhh i m really hoping for bts in ph pleadingfaceloudlycryingfacepurpleheart we miss you everyday guys
neutral,sir aap apne wade ko pura nahin kar paye subcapital mein light ki aise problem pehle kavi nahin hui th t co v8ynkkktqu
negative,ha ha ca matlab bada wala harami hai tu ek no paise ko do no main badalta jo hoga facewithtearsofjoyfoldedhands panchur lagan t co a7gn75w2rv
neutral,askstars can india replace vijay sankar in place of ajinkya rahane because ajinkya rahane is well known of england pitches
neutral,amma ko bolo world cup ke shat shat huamra hira bhi dede
negative,abhi to teri ammi aur chudegi ruk ja khud ke hi pesab se pyaas bujhane ko majboor hai jaoge aur is ok t co 5zkd0fszfy
negative,kartik tere baap ne bola tha ye bsdk bs fake news par hi zinda rehte hai tum log haan mc pc ke karname batau bol
neutral,dear sir narendara modi ji main ek jajav samaj see hu aur appko samathan karta hu lakin sir appse ek request hai vai t co 9gxgyyb7b5
positive,aadarniya modi ji aap se mera nivedan hai ki pakistan m hai rahey hinduo par julm ko aap veshvik patal par purjor tarike se
negative,gadhe ka meat to nahin khate tumhare jaise tabhi gadhe jaise raink raha hai jabse modi aaya t co oalb1g8wg0
negative,such a disappointing day for prokannada karnataka representation in loka sabhe we have elected puppets of high command a
negative,astaghfar karein madam zab was statesman hai is not even a politician
positive,jab jaago tabhi savera is one hell of a saying
neutral,vasanthh thalapathybirthdaymonth firefiresmilingfacewithsunglassessmilingfacewithhearteyes 21daystogo4thalapathybday smilingfacewithhearteyesfire thalapathy bihday month special sachein movie photosho
neutral,band kar drama dream 11 50 use nahin kar payenge toh khelunga kya bc 25 tax kabhi kate hai angryface 31 tax gst sgst t co pchclecfe4
neutral,130000000 logo ne congress ko vote kiya hai 220000000 logo ne bjp ko matlab har parliament me 200000 l t co x1opfd2vlz
negative,shukar ha kki dhang ka topic kse ne to rkha nh to yha to siyast ke chablosi se hai furst nh kse ko es kyon t co e4ltwgqktw
negative,bhik ke visa par reh rahe hai aur dusro ko clothing opinion baatt rahe hai no wonder you make bhakts orgasmed
neutral,mukesh film lekh 1949 lut gaya din raat ka araam kiyun great gemmy fav t co n4tirpa5yp
positive,sirjahan pe savera wahin pe basera stay blessed pray to god to see you soon
positive,ab shri lanka ki bhi band bajao su su swamy
positive,54 tum jeeto ya haaro humey tum se piar hai may we win this world cup we will work hard to pray for y t co tuf1ku04t5
negative,aap to chor tha baqaoul imran khan ka or team accha performer kar rahee thiajj imandar log hain or team ki lag gayee hahahahaha
negative,teri maa ki chut behen ke lode teri gand main jor hai to 15 minute ke liye mil le tujhe teri randi maa ke t co bdrd2zcwea
positive,sabka saath sabka vikas sabka viswas t co rdkc8rq58z
neutral,penguin ko ab mentions antarctica nahin jaane denge itne easily perseveringface
neutral,current captain se better hai khelo gi tajarba b hoga dilo se khelti hogi facewithtongue
negative,hakikat to andhra ke natizo ne hi bata di thi vaha bjp nahin thi isliye jagan ke bhag khul gaye n t co uezhbelgtn
neutral,doc saab bahut hai badhiya video banaya andhere se much better hai
positive,tejasswiprakash hilarious epi facewithtearsofjoy nikki me teri chikki bana dungi facewithtearsofjoy tj you r jealousy cute expression i love it smilingfacewithhearteyes kj you t co hdvrjbqsvb
neutral,16 muslim khud modi virodhi hai modi ne 5sal mai muslim virodhi kuch kiya hi nahin
negative,ghulam hai tu ghulam soch ghulam zindagi aur teri maut bhi gulami wali hi honi tu musalman nahin hai s t co yubkg6cedr
negative,kyon ok ye media waly khud b manhoos kisam ok saanp hai hn poutingfacepoutingface jo moka milny par pakidtan ko dastay hn angryfaceangryfaceangryfaceangryfaceangryfaceangryface
neutral,i r ok i pakka gobhiji ke emo vale scenes yahi likhta hoga
neutral,sir aapke survey ke hisaab se rahul ji aur modi ji mein bhi kaante ki takkar thi aapke durvery bhi aa t co vev3ru5zsm
negative,nahin frk pdta hai modi ji koi 1 sawal uthata hai mein jharkhand ke 1 gaav se belong krta hu maa baap p t co cfbo7twytg
positive,congratulations to my son eric and nova high s graduating c o 2019 you made it just like i knew you would congrat t co gj0u1eoirb
positive,ji jaise minister koee nahin tha koee nahin hai aur hai payega she has endearment t co gxclcvhinu
negative,35crore muslamn ko paresan krne ok liye 80crore hinduo ne khud paresani mol le li hai 5saal tk pahle jhelo jholechhap ko
neutral,jai jai jai akhelish jai samajwad pir 5sal jhelna padega na t co avmqmexzdq
positive,phir ek tweet modi bhakti ki bhakti ki v hadd hoti hai apko kitna paisa modi govt de raha hai wo v bta t co y7vsecjp9x
positive,dede pyaar de is super hit wht ever you want to bark 12th movie in to 100 cr club
neutral,please checkout this news all in one super entertainer promo 29th may 2019 dhee jodi jabardasthextra jabard t co vzzcoei9jg
negative,ex cricketer sikandar bhakt abhi teri aukat nahin hai pakistan team ko judge karne ki jada apne aapko judge mat mat t co lwoe9trgzp
positive,manniye amit sah ji subhkamna apko ummide hai ki aap apne jimmebari ko desh hit mey aage badhayenge jaisa t co rfkz7oqay7
positive,inspirationofmillions good evening guru ji bless us nd give us power 4 sewa simran and parmart t co crfyzsjygb
neutral,pakistan allah ok nam py bna hy iski hifazt b wohi kar raha in jaison ok bohkny sy kch nh hoga
neutral,insan ka vyaktiva uski soch ke madhyam se pata chalta hai rest you can understand najar aur najariya
neutral,worldvictorioussaint saraswati marg darshan karne wala taran taran asia khand mein jis desh ke naam hindustan hind t co eysxraaqnj
neutral,bhai aaphiko sirf etne zabardast scripts kaha se milte hai aur aap har movie main apni performances m t co jj1pwpabv2
neutral,hamare pension ka kay hoga jai kisan to hai gaya jai jawan kab hoga jai jawan tavi sahi mai t co mnabkc9g0z
neutral,humari team kyon consistently perform nahin kar paati iski bohot badi waja humare fans bhi hai itne reactionary or n t co qco3tdqhry
positive,narendra modi jee aapne 5sal take bahut ache kam kiye hai aap hi ke dwara bharat ki puri t co x4uhng5s8c
positive,thegiftofeducation with pious blessings of saint dr singh ji insan personbowingmalesignpersonbowingmalesignpersonbowingmalesign dera sacha sauda is
neutral,ab behtar yahi hoga ke pakistan ko apne match scotland ireland zimbabwe kenya aur uae ke saath khelne chahiye t co ufxgryvfyy
neutral,dna desh ka no 1 news show with at 9 pm sir mein aapko batana chahta ki mein aur t co e7cmrys6bu
negative,aik baap ki bebasi our riyasat our hukomat ki behissi brokenheartbrokenheart my heart weeps were your culpritour silence is your culprit
neutral,bhandari what about jhootha and don modi
positive,whats happening loudlycryingfaceloudlycryingfaceloudlycryingface i cant watch a live enjsjs im so sad
neutral,sh pubg nahin khelta match nahin dekhta smoke nahin krta will this society accept me
positive,what a great speech by our pm sir sabka saath sabka vikas sabka visvas great bharat
positive,little mix for their most overrated song oops their most underrated song love me like you favouri t co bjxnydmwtr
negative,sorry gill sahb azaadi sirf in journalists ka haq hai baqi ko ye chorte kab hain kabhi
neutral,priti agar itna problem hai toh khud ka show launch karo satyamev jayate ko 5 saal hai gaya aur tum t co scepd3urlo
positive,worldvictorioussaint america ke shri anderson ki bhavishyavani bharat ke dehat ka ek dharmik vyakti ek manav ek t co 9kfphh1dkl
positive,sir ji good evening ji foldedhands sir ji yadi aap ko apni baat ko janta thak pohochana hay thoo sub shay phalay t co qb4nv9vhos
negative,mirchi ooo to bhai di to ti ise izzat is ko galliyan dena thodi start ki ti khud isne galli d t co y0pmhjrlfp
positive,bhot si jimedaarian hai saahb desh ki yu sarkar bnaane bhr se desh nahin chlte iss desh me aasharam ram raheem t co lvx7pvqefn
negative,how did i forget this bop phir dhoom by palash sen t co olsk6hkque
neutral,media ko list nahin deker galat kiya media ka haq hai list lena or public ko btana kon minister ban raha hai
negative,farhan4 sadia koi dhang ka kaam nahin hai kerne ko jo choron se milne jatay hai qaum ki t co wsgjdnk0xw
positive,lovelike jesus god creates god loves god hears god helps god heals god saves god speaks god blesses god teaches god watches god ans
positive,aap ko jit kliye bahut bahut subhkamnaye sir aap s mera request hai ki is sarkar m biotechn t co hrcewugyyc
positive,awesome experience after thalapathi at darbar shoot this national award winner reveals t co ajshtidsmx ra
positive,gadkari good job sir t co igpvwmjhhh
negative,indic islam ki wajah se usko masjid jaane wala chahiye tha uske maa baap ko kuran padhne wala chahiye tha t co lmiyz1a96w
neutral,ab asifa ka haq banta hai maryam ki tarh asifa apne baap ko jail t co l69tprffhj of luck asifa
neutral,haan aamir ne aise hi reject nahin ki movie saale ne shah bhai ka naam age kiya f t co rebw4en7uv
negative,onesolutiontoeveryproblem jis trah fake te gande indian tv media ne dera sacha sauda khilaaf fake propoganda fake t co xu9mndwwtz
negative,you are only speak you have not capable to do anything bharat mata ki jai vande matram
negative,gawar tu saala kutta hai kuch kam nahin hai deshbhakti jesa gu stool movie karta hai dekhne me joker t co xfokte2hov
neutral,sanatan dharm sabse purana dharm hai jo iss desh ki neev hai jisme gaupooja hoti hai and still t co xy5uca5ixu
neutral,adotey amofah oh ma boy no make lucky kraaa hell be so hurt facewithtearsofjoy
neutral,tum jaise log sirf whatsapp twitter ki dunia me jeete hai grinningfacewithsweatgrinningfacewithbigeyesfacewithtearsofjoy kabhi hmne bhi dange de t co ezfzlsgvpq
positive,harsh bilkul sir patel ji wali reflection hai shah ji ki hume toh proud hai apne pu t co kgd1zb75jc
negative,kp govt to bhari pari so usko tou chor do imran khan khud ne bhi to aise apni pasand banday lagaye hain without due process
positive,jay hind jay jawan jay bharat i proud to be indian army bhartiya jawano par hame ja t co 3vbwtrvkao
negative,arvind ji enough is enough now its unbearable chate kya hai aap ki janta aapke against me raod pe utar aapke aam a t co 8wji7vg956
positive,guys must check out aap its very good platform of few league feature very cool you win prizes fantastic t co ljeiqrmoq2
negative,tere jaise chutiye jab faltoo ki bayan baazi karenge to modi supporter chup nahin baithenge uska jaw t co 76jpdagi8p
positive,aaj ganga ji haridwar mai snan karne ka awsar prapt hua maa ganga kripa banaye rakhe har har gange t co ox
neutral,to everyone in the hoosier state for the race this weekend stay safe be smart don t drink drive be kind have f
neutral,siyasat kisi ok baap dada ki jageer nahin intehai ghatiya zehniyat ka muzahira really unexpected from you
neutral,mujhe to koi problem nahin hai kisi language se par jab hindi wale apna supremacy dikhane lagte hein to ji t co axbfpsmnuv
positive,rao love you shahrukh sir smilingfacewithhearteyes
negative,one kashmiri trader beaten up in up whole secular jamat and supreme court also made hue n cry to prot t co 99lmnvsnip
positive,congratulations sir what a great achievement sir apki twaja aik ahm masly ki trf dlana chahta hun ok t co h8ypj754cg
neutral,abhi film kahin bhi release nahin huyi aur yeah bhai sahab ne review bhi de diya smirkingface t co dphadk1zna
negative,nahin be chutiye tere jaise chutiye kaise kaise haalat ka maza lete hai aisa darshata hai tera tweet t co pspms7hcb7
positive,hmm but tasty boht hoty hain facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacesavoringfoodfacesavoringfoodfacesavoringfoodfacesavoringfoodfacesavoringfood hy soch ok bhi moo m pani aa gaya schi
positive,ati kar di besharmi ki are prabhu inteha hai gyi hai ab do isteefa isse jyada sitam na karo janta pe foldedhands t co jnnstful79
neutral,yaad rahay yeh tarjuman bina salary or sahooliyaat haain jo siraf media kay talk shows me hissa laaingay
positive,heard on tij and it could possibly be the best episode ive ever heard so much honesty its good to hai t co miv2igaojz
positive,hiii it would mean the world to me you dont understand how much i love you you are my t co 5yhpx5mzrg
positive,it s like bde but better relievedfaceraisedfistlightskintone i been blessed
positive,the bts boys killed it at wembley stadium tonight we re so proud of them beatingheartbeatingheartbeatingheart btsatwembley t co ypnrt7lutd
negative,just mock him wherever you see sala urban naxal kahika
neutral,looking for best biology coaching in mayur vihar laxmi nagar patparganj ip extension noida east delhi call 995851
positive,modi ji say mera anurodh hai ki manniye jai bhan singh ji pawaiya ko rastriye adyakch ka pad diya jay t co 2omfgmv74j
negative,top1 ab toh inshan ok par b logo ko trust uth gaya unse accha kutto ka pi lo at least toh rhegi bc facewithtearsofjoy
neutral,no status for brooo kyoki jalwa hi alag hai verma ji ka hamre pirya bhai shri shri 100001 baba barfani ji ke paarm b t co gpbhb0b7pu
positive,kanha batman ha ek fan hi bahut hai movie ko t co dlquinov33
positive,voh sab toh thik hai par party me daaru kam nahin padnii chahie signofthehornsgrinningfacewithsmilingeyes a very happy birthday to the coach
neutral,garrywalia rashid tco 4pk2myhd1j
negative,kuch jamini taur pe kam karo sir paid news kyon chalate hai himmat hain to bjp ke khilaf bhi patalkari karke dikhav
neutral,bjp ko wahi bura kahta hai jo bura hota hai main aapko bata doon ki bjp ne in paanch saalon mein j t co annc4czm84
negative,muslim gar mai peda hone se muslim banta hai sachcha muslaman nahin qura t co e2ze6e3nid
positive,yes duwa in vitar after qayam ul layl prayer is mesmerising you feel like no words to describe
neutral,hahah bibi ye naray hain koi tumhari jahil patwari video bana raha hay aur itni bhi himat nahin ok zo t co en0vbwurfd
neutral,yogendrayadav aur yeh vishwas kisi jhoot ke buniyaad par nahin hai logo ne isliye vishwas dikhaya kyunki bjp ne a t co ev8jl2yids
neutral,choudhary are krto diya or kitna kraygi facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy
neutral,we got pushed aside and beaten 41 in a final that was meant to be the most important game of the season for us jalwa
positive,aneeta sir apke kaal me bhi hm berojgaar bethe hai well qualified hone ok wabjud pareekha pas hone ok wabjud ok
negative,ha bhos r ke mathura me to tumhare jija lagte the na topi wale tabhi pet me dard nahin hua jamanat t co i5o7klrswz
neutral,jab t v debete pe hi fixing ka aarop lagne lage aur anchor hi party vishesh ok parvakta ban jaaye to tv debete me vi t co pbfkbgbw2k
positive,sweta bharat is on the way to be vishwaguru such programs will be base of this
positive,tabriz rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing you are my baybuhhh was my fav line isl days were the best rollingonthefloorlaughing whaaat
neutral,kyou desh ko badnam karte hai loge aise logo ko kadi saja bhi milni chahiye jo bhi loge desh apman karte hai jay hai t co dpetlqyjvv
negative,tum jo vikas naale me dhund rahey they milla kya lagta hai bikas ko dhundtey dhundtey khud hai naale me bhey gay saa t co fwgagac8t6
positive,and if any man say unto you why do ye this say ye that the lord hath need of him and straightway hai will send hai t co pfjb5xn3ba
negative,rahul to ab pappu nahin dimaghin admi ban gaya jo congress ki taboot ki aakhiri kil mare t co ybjqslmcyx
positive,you are right sir hamari bhul kamal ka phool abki baar hum phir ji jaan say mehnat karenge congress t co 9vbagelx4a
positive,aapko jaan ke dukh hoga she will be soon free terrorism ke saath yaakub memon bhi tha 1 t co oi81h3xa7x
positive,unzila ji btw thnks aap ky itne likes ky lia redheartvictoryhand
negative,aacha hua marr gaya tere hi party wale sadak par gau hatya kar rahe the tab toh bahut dinge mar raha th t co qf0jkiu6sh
positive,we all always miss you mam aap ka videsh mantri ke pad se jana bhot hi dukhad hai apaka apne deshw t co 1rwkeyrjjm
neutral,lagta hai ye aap ka poll hai bjp walon ka to the ulta tha t co yapoeallwu
negative,yeh desh ke garh matri hi nahin gaddaro ke kaal bhi hai kaam bol kar jayda kaam karte karne viswash karte hai apne t co amdxa1aey7
neutral,coin pair denteth is running up for a couple of minutes dent just now went 366 it might be a good very short term investment
neutral,58 best way to change topic clappinghandsclappinghandsclappinghandsclappinghands apni baa t co i3bsvva4cu
negative,bengal waalo ko bulaa ok mamta didi ki sarkar goraane me faydaa hoga bengal ok logo ki sympathi milegi t co 17sm47oxfq
positive,alhumduillah heartily congratulations to sadaremajlis aali janaab barrister sahab for winning hydera t co 9ubggas01w
positive,bhai tu saccha aadmi hai aur tu banega ek din best politician mai chita aadmi hu lekin maine t co lriwzokckv
negative,abby perchii ab gaand phat ri hai teri wc me looroo kutta bc india se bi haaro ge tm log
neutral,jo islaam maante hai kuchh bhi hai malichh bahut hote hai wo kuchh bhi hai sakte hai manusya nahin hai sak t co p5e9cl7fac
neutral,grinningfacewithsmilingeyesgrinningfacewithsmilingeyesgrinningfacewithbigeyes isko doosra kaam nahin only criticism to cm all time
negative,hindu muslim ko apas me ladana aur khud baith ke italian malkin ke sath majje se isai conversion machinary chalana hai
positive,good morning pita ji thanks for the new day please bless me sewa sumrin and parmarth bakso ji t co bf9xgwyhjk
neutral,i miss olic i miss conceptulates and i miss smaj
neutral,ik sahab jab pm nahin thay tu tanqeed karte thay yeh married pe team nahin hai sub relo katto hain aj b w t co tef4x8y5hy
positive,madam can i call you mommy after seeing your love towards baccho n bacchiya with my heart i also t co qgzeau6l9w
positive,phla fam to smam fam you guys are the best thanks for comming smilingfacewithsmilingeyes
neutral,sir samriti ji ne pappu ko hra diya amethi se to apna waada politics quit kab pura kar rahe hai
negative,cm banne ka khwab chodo tum so called gandhi parivaar ke talwe chato you lost a lot of respect from so many people
positive,1st thing 1st you look awsome in your new role in article15 by god ki jhalak mili deewar t co tnyi8wtll2
negative,muni abe chara chor ki party nautanki na karo to hi accha hoga scamsters facewithtearsofjoy
negative,aaj tak to waise bhi bika hua hai dhang ki news tumhe dikhani nahin hai dalalmedia ke sartaj t co cmfh04rgmo
negative,tere jaise hutiya ke paida iss liye hote hai taake tu backchodi karr sakhe 2 din pehle tu narendra modi ji ko t co h2ckk5qrpy
positive,ham boys yahe thinking karta hai ke kas mara life ma koe gf rahte our mave uska sath pyara sa jindagi betata love t co ey1v55uehx
negative,bura waqt to paagal ko bhi nahin bhoolta tum to normal lgti hai abhi unamusedface
neutral,hum russell ky saamne let gaye agle match me archer tou hamain 50 tak bhi jaane nahin de ja prove me wrong
negative,fake news muslim man was not beaten up in karimnagar for not chanting jai shree ram t co zsycheh53q
positive,singer bus ab hamari team jitegi hi kyonki anushka and sukhnir dual god bless all
positive,bus ye hi reason hai boss delhi ok bahar se support krne ka you doing good job sir
neutral,sahab garam hava 1973 ke baad koi movie jo dil ko chhu gayi woh apki movie mulk hain kudos to you t co iap9wdddg3
neutral,kolapo i did wasnt still this bad 2015 seems some people have relocated from igbaja and kamaya
positive,meraj khan mumbai ramzan mubarak all you tco zbi1mtsho4
positive,ponkhi hey bhai personraisinghand by now were all aware that you guys are sponsoring this trip we cant thank enough for this bles
negative,pak ko wc se 6hoti ki darkhast krni chye kyon ok pakistani awam m et i himat nahin ke enke lyeee due hi krtiii rahe khlnaaa ata nahin enko nosenosenosenose
neutral,tufan diwana video song bhojpuri new song 2019 dj remix t co d7va1qioao via
neutral,zh ar 10 iss nay football hai dekhna wesay bhee
negative,are bsdkk dhruv tyagi ke bare main kitni bar muslim aatankwad bola tune vivek hatyakand ke bad teri zu t co lczbqkhd7b
neutral,ji mainy aap per bahut bari novel likhni ha jis ma sari apki dastan e zindage ki sleeping hai ge ahan facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoysquintingfacewithtonguesquintingfacewithtonguesquintingfacewithtonguesquintingfacewithtongue
negative,abusing children is a very big crime haramzade ko badi saza honi chahiye isliye nahin ok muslim hai c t co r6fia0ydto
neutral,language is not just a skill its a personal and cultural identity chowkidar ko itna samajhne ki akal nahin hoti
neutral,hurii apki personality aur avi ke hisab se apkoo kya hona chahiy drop your name ill tell you grinningsquintingface 1 doctor 2 hafiz e quran 3 m
neutral,chanda should i hope fr the best d
positive,tum apni taraf aane wali takleefon ko apne gunahon ki saza mat samjhna mera allah bohat mehrban hai wo badle nahin l t co uy2jiwl8e9
neutral,who ranjan b ohh matlab congress aur bjp ok kharab candidate harenge to kyon nahin kis t co wvqwi8fczp
negative,sabi hataya me bjp govt aur bjp ka hi hath haakhir koi gen aur gair sp ka neta kyon nahin mara ja raha hpahle evm ki t co pinw6qcimr
neutral,hi soniya you might be interested in gt4t it is an aap that runs on windows mac it enables you t co xqcbqtkpl7
positive,what is this race you are talking about everyone is good and akshay is a bankable star as well its t co 1igru9vmtk
neutral,aap loog galti se bhi kabhi sach nahin bool sakte kya javed akhtar has never done burqe ki pairavi gaja
neutral,is hatya ko aaj 12dina hai jaye leki up police hath pe hath rakhe bhaithe hai kuch karywahi nahin kar rahi hame log t co mxitivhrqw
positive,mp me govt kamalnath ki hai wese ek or video viral hai jisme aapke shantidut bhai ek dukandar t co dolm3oddcs
negative,is bandy ke har baat jhoot se shoro hoti hai or jhoot pe khatm hoti hai the worst part is that every indian believ t co hv7deblmce
negative,ab bas bhi kar pagle rulayega ky or ha tu chutiya hi peda huwa tha sale 5 saal se nota t co ex4hf4dvpu
neutral,ind ye insaan smriti ji aur modi ji ke pichhe hath dhokar padd gaya hai facewithtearsofjoyfacewithtearsofjoy har t t co mucaajjd87
neutral,twitz ka var sun
neutral,sach keh raha hai deewana dil dil na kisi se lagana jhoothe hai pyaar ke waade sare jhoothi hai pyaar ki kasme t co 6wkljhp6sr
positive,jo achcha bolta hai kahin uske dil mai insaniyat jaagi hoti hai kuch achcha karne ki kosis karte hongebut modi ji t co os1qcczmks
neutral,watch t co qxi0gu6uji
negative,ocean i don t give shit about other rats bul a rat too t co m99pjg50wh
negative,aap to chup hai raha karo kuch jyada hai bolti hai tabhe to j ok ke awam ne buri trh hraya hai election me
neutral,who yaha bhej do bjp party ticket de degi tco kegojytslf
neutral,jab zee news wale bare hin besharmi ok sath congress party ka virodh kar sakati hai to jab congress ne apne spoke p t co 0sxcfegfmu
positive,sir jeet ke lye bahut bahut badhyi lekin jo soorat me huaa usme aap ne dekha hoga ki fire
negative,sambha kahan se mila re tujhe yeh tape suna to zara sun lo gaun wasio thakur ka kamal
neutral,baat jeetne aur haarne ki nahin hai common sense ki hai aur public ke saamne nautanki karenge to pu t co tdre9pd4ra
negative,ghatya randi khabees kaafir ki aulaad ooe randi kidhar ooe randi kidhar aane se pehle hi sar phaar dun ja main ale t co ljbd7xmhi4
negative,why tf are people still using abbreviations for every word wt iz your prlm bc kitna time bachate hai in harkaton se
neutral,waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai phir kiya tha apne aapne aap ko ba tco nxrcxp7ssw
neutral,sir ye lefafay hein jinko nabi ki baat se ziyada logo ki prwa hai jurm agr mulk bananay wala bhi kry t t co nxx1nkmjaw
positive,many many congratulations raisinghandsraisinghands ab apke 2209 followes hai gaye hai ese khub tarraki karo or khush rho facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfoldedhands ram ram sa boy
neutral,ji bilqul likha araha hai ke video delete kar di kar gai hai thinkingface
neutral,yes bc sabne unsubscribe kar diya hai
positive,mohobbat good nyt pita ji faceblowingakissfaceblowingakissfoldedhands dhan dhan satguru tera hi aasra foldedhands im sorry for all my mistakes kindly forgive me foldedhands
negative,tum kitne baade mc hai iss artilce se saaf hai bc ek isi ke agent ki t co gawtvjod3y
negative,jo team pakistan ko haraegi wo pakistaniyo ko buri hi lgegi facewithtongue ruko thore din abhi pak vs aus b hoga facewithtearsofjoy
positive,aithey aa becomes the shaadi anthem of the year can t thank you all enough aitheyaasong thefilm
negative,here ghr waly chor deny hen life style badal lena hai lekin thori minnatain nahin krni ego hurt hoti hai maharaaniyon ki
negative,tu ek no ka chutiya hai
negative,swaraj 1 sbse badi bt terrorist sadhvi pragya jeet gyi hament karkare ko shrap dene wali wah desh such trakki krra hh
positive,gadkari jeet ki hardik badhai avm subhkamnaye t co a3eeptsvl1
positive,thank you gita jumma mubarak happy weekend enjoy your weekend t co f98v98qgc6
positive,ill do my best poured love to mitra smilingfacewithhearteyessmilingfacewithhearteyes
neutral,all the best to cricket but cup toh hum indians hi le jaayenge mr stop them if yo t co 6himw5hiae
neutral,nitish kumar ne bjp ko thenga dikhate mantri mandal ka kiya bistar
negative,na kar apni mble wali maa ko chor or ghr walon ko b munh laga le kbi mar jayega is ok chkr mn
neutral,but yaar congress hi kyon apni khud hi party hai tu rss aur bjp ki lag jaige
negative,madam aj ke yuwa ne jab pakoda talne wali sarkar ko chuna hai is tarah ki cheezen to hongi hi it t co zmo8ay4zmi
neutral,bachii boy 1 bhai tu cigarettes chhorne wala tha na boy 2 mar gaya bhai boy 1 koun boy 2 motivation
negative,dhang ka exit poll bana nahin payedhang ki patrakarita kar nahin payeapne agenda ki wajah se kisi media hai t co eihev12lqk
neutral,to woh dusri evm kaha se aayi uska toh ans do evmhacking 19 lack evm kaha gyi evmscandal
positive,kal also it wasn t bad stepped out at 4 pm it was bearable but bhai abh na hai payega
positive,n o to meet the love of my life dear
neutral,ek kangreshi votar se maine udhar 72 hajar mange ye bol ke ki kangresh ki sarkar aayegi to vapas kar dunda sale ne t co bqguq1rcg1
neutral,mumbai thanks sir appreciate your efforts
positive,shoaib bhai world cup main accha performance dani ha aap na kion kanyeahnap ka akhri world cup ha
neutral,scratch that kfc ke bhi auqaat nahin rahee after todays defeat pesay doob gayee sarfi ke chakaar main andaay t co nw2a4ipbbe
neutral,payaltadvi sucide case mai teeno aropi griftar police ne kal raat hemaahuja ko arrest kiya moviecamera watchvideo backhandindexpointingdownlightskintonebackhandindexpointingdownlightskintone htt
negative,jo gunegar hai usko to rpf dhunti nahin ek be gunah ko pakad ok apna power dekhati hai rpf ko sarm aani c t co xqgvh5ym8n
positive,nsui6 no matter what result is you will always remain my leader redheart i am always proud to say this smilingfacewithsmilingeyes
negative,facewithtearsofjoy facewithtearsofjoy so you are expecting something disaster madam ramzan hai kuch accha hi bolliya kare bura bolke t co gzeizix5rq
neutral,mee dhan pic toh fake hai aur location police khud track karlegiuska koi problem nahin report kar abhi acc t co e05wuysku4
positive,hai sabse super modi hai sabse uper modi deshkagauravmodi modiaagaya namo again modireturns t co 8mdjlfd
neutral,surya believe system kam ki cheej hoti hai ar hindu muslim ki baat hai t t co 0kzc9fwhqk
negative,kuch lrkion ko pata nahin kiun lgta hai ok wo stupid batein krain to cute lgti hain t co 7fcrnefldl
neutral,jenghiz caution vgnsh sorry machi beamingfacewithsmilingeyesfaceblowingakiss
neutral,thegiftofeducation volunteer of dera sacha sauda sirsa open free coaching center for needy people http
negative,14hb arey ganwar jaahil tere jaise kutte ke saath baat nahin laath aur daanda se kaam chalna padta hai t co xyormj1iuv
negative,idc who you are once you start fucking with bitches i dont fuck with you become exactly that a bitch i dont fuck with writinghandmediumdarkskintone
neutral,kya tum bhoolgaye tum 313 the aur wo hazaro the aaj sirf 300 ko dekhkar carodo ki taqat darjayegi nahin kuch nahin hai t co zhhm9bk5nk
positive,jai shree ram triangularflagtriangularflag har ghar bhagwa chaega triangularflagtriangularflag ram rajya phir aaega triangularflagtriangularflag ek hee naara ek hee naam triangularflagtriangularflag t co b6gjjhxbj3
neutral,ha ha ha i just went through your tweets i cant stop laughing papa ka kehna mano agar akele la t co 4dl99tcbx7
